Allenby Junior Public School
AY Jackson Secondary School
Beverley Public School
Brown Junior Public School
Carleton Village Junior and Senior Sports and Wellness Academy
Central Technical School
Deer Park Junior and Senior Public School
Don Mills Collegiate Institute
Downsview Secondary School
Earl Grey Senior Public School
Fern Avenue Junior and Senior Public School
Forest Hill Collegiate Institute
George Harvey Collegiate Institute
George S Henry Academy
Glenview Senior Public School
Harbord Collegiate Institute
Humberside Collegiate Institute
Jarvis Collegiate Institute
Keele Street Public School
Kensington Community School
Lawrence Park Collegiate Institute
Malvern Collegiate Institute
Monarch Park Collegiate Institute
Newtonbrook Secondary School
Northern Secondary School
Queen Alexandra Middle School
RH King Academy
Riverdale Collegiate Institute
Rosedale Heights School of the Arts
SATEC @ WA Porter
Sir Willfred Laurier Collegiate Institute
Stephen Leacock Collegiate Institute
Sunny View Junior and Senior Public School
Western Technical-Commercial School
Westview Centennial Secondary School
Winona Drive Senior Public School
Albert Campbell CI
Bedford Park Jr PS
Bowmore Road Jr & Sr PS
C W Jefferys CI
Cedarbrae CI
DA Morrison JHS/East York Alt SS
Duke Of Connaught Jr & Sr PS
Earl Beatty Jr & Sr PS
Emery CI/Emery Adult Learning Centre
Frankland CS Jr
Georges Vanier SS
Glen Ames Sr PS
Gordon A Brown MS
Hillcrest PS
L'Amoreaux CI
Lester B. Pearson CI/Dr M. Hilliard SPS
Northview Heights SS
Parkdale Jr & Sr PS
Runnymede CI
Sir Oliver Mowat CI
Swansea Jr & Sr PS
Vaughan Road Academy (Davisville Jr)
Victoria Park CI
West Hill CI
Weston CI
Wexford CI
York Mills CI
